juris_id,case_citations
157,113 phil. 323
157,g.r. no. 183606
157,g.r. no. 170575
157,g.r. no. 178908
157,g.r. no. 149121
157,g.r. no. 154704
157,g.r. no. 170646
157,g.r. no. 163208
157,g.r. no. 141508
158,g.r. no. 182937
158,244 phil. 159
158,221 phil. 685
158,51 phil. 355
159,g.r. no. 179987
159,g.r. no. 172011
159,g.r. no. 195137
159,521 phil. 447
159,205 phil. 164
159,224 phil. 247
159,g.r. no. 177384
161,g.r. no. 148233
161,230 phil. 145
161,g.r. no. 77429
162,447 phil. 457
162,315 phil. 446
162,g.r. no. 189479
162,478 phil. 823
163,391 phil. 853
163,462 phil. 620
164,g.r. no. 137582
164,g.r. no. 190515
164,513 phil. 264
164,g.r. no. 150741
164,260 phil. 477
164,51 phil. 498
164,110 phil. 823
165,458 phil. 1031
165,455 phil. 944
165,540 phil. 516
165,481 phil. 366
165,513 phil. 254
165,g.r. no. 185352
165,g.r. no. 154503
165,516 phil. 628
165,g.r. no. 186289
165,g.r. no. 161416
165,g.r. no. 191491
165,g.r. no. 179802
165,403 phil. 572
165,511 phil. 338
165,g.r. no. 173951
166,331 phil. 1070
166,327 phil. 1047
166,256 phil. 777
166,g.r. no. 164195
166,478 phil. 701
166,515 phil. 467
166,g.r. no. 171941
166,g.r. no. 175175
166,g.r. no. 183688
166,464 phil. 83
166,319 phil. 246
167,g.r. no. 175512
167,g.r. no. 182380
167,g.r. no. 75450
167,g.r. no. 156448
167,g.r. no. 174730
168,g.r. no. 167693
168,g.r. no. 188569
168,g.r. no. 179277
168,g.r. no. 184170
168,g.r. no. 189092
168,g.r. no. 181035
168,g.r. no. 185380
168,314 phil. 432
168,g.r. no. 142602
168,g.r. no. 180451
169,495 phil. 239
169,g.r. no. 172785
169,387 phil. 15
169,g.r. no. 171052
169,g.r. no. 171121
170,431 phil. 135
171,335 phil. 632
171,g.r. no. 188064
171,136 phil. 601
171,g.r. no. 156973
171,g.r. no. 176448
171,263 phil. 526
172,g.r. no. 177857
172,g.r. no. 177857
172,g.r. no. 177857
172,g.r. no. 177857
173,154 misc. 553
173,g.r. no. 166704
173,207 p. 963
173,g.r. no. 136371
174,g.r. no. 188278
174,203 phil. 313
174,316 phil. 371
174,433 phil. 649
175,489 phil. 185
175,g.r. no. 178830
175,g.r. no. 165272
175,424 phil. 757
175,g.r. no. 156421
175,g.r. no. 178330
175,g.r. no. 164036
175,490 phil. 808
175,g.r. no. 154355
175,g.r. no. 157867
175,125 phil. 595
175,g.r. no. 164919
175,g.r. no. 176019
